ID,Name,Exercise type,BodyPart,Equipment,Gender,Target,ILID,Synergist
2312,Barbell Alternate Biceps Curl,Strength,Upper Arms,Barbell,Male,Biceps Brachii,0013,"Brachialis, Brachioradialis"
2512,Barbell Bench Press,Strength,Chest,Barbell,Male,Pectoralis Major Sternal Head,0014,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
2612,Barbell Bench Squat,Strength,Thighs,Barbell,Male,Quadriceps,0015,"Adductor Magnus, Soleus"
2712,Barbell Bent Over Row,Strength,Back,Barbell,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Middle Fibers, Trapezius Upper Fibers ",0016,"Brachialis, Brachioradialis, Deltoid Posterior"
2812,Barbell Clean and Press,Strength,Shoulders,Barbell,Male,"Deltoid Anterior, Gluteus Maximus, Quadriceps",0017,
2912,Barbell Clean-grip Front Squat,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps",0018,"Adductor Magnus, Soleus"
3012,Barbell Close Grip Bench Press,Strength,Upper Arms,Barbell,Male,Triceps Brachii,0019,"Deltoid Anterior, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head"
3112,Barbell Curl,Strength,Upper Arms,Barbell,Male,Biceps Brachii,0020,"Brachialis, Brachioradialis"
3212,Barbell Deadlift,Strength,Hips,Barbell,Male,Gluteus Maximus,0021,"Adductor Magnus, Erector Spinae, Hamstrings, Quadriceps, Soleus"
3312,Barbell Decline Bench Press,Strength,Chest,Barbell,Male,Pectoralis Major Sternal Head,0022,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
3812,Barbell Drag Curl,Strength,Upper Arms,Barbell,Male,Biceps Brachii,0023,"Brachialis, Brachioradialis, Deltoid Anterior, Deltoid Posterior"
3912,Barbell Front Chest Squat,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps",0024,"Adductor Magnus, Soleus"
4112,Barbell Front Raise,Strength,Shoulders,Barbell,Male,Deltoid Anterior,0025,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior"
4212,Barbell Front Squat,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps",0026,"Adductor Magnus, Soleus"
4312,Barbell Full Squat,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps",0027,"Adductor Magnus, Soleus"
4412,Barbell Good Morning,Strength,Hips,Barbell,Male,Hamstrings,0028,"Adductor Magnus, Gluteus Maximus"
4512,Barbell Guillotine Bench Press,Strength,Chest,Barbell,Male,Pectoralis Major Sternal Head,0029,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
4612,Barbell Hack Squat,Strength,"Hips, Thighs",Barbell,Male,"Gluteus Maximus, Quadriceps",0030,"Adductor Magnus, Soleus"
4712,Barbell Incline Bench Press,Strength,Chest,Barbell,Male,Pectoralis Major Clavicular Head,0031,"Deltoid Anterior, Triceps Brachii"
